,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,MB,,MB,MB,MB,MB,MB,,,,,MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BB,BB,BB,BB,BB,,BB,BB,BB,BB,,,,,,,,,,,,,,,BB,,,,MB,,,,,,,BB,BB,MB,,MB,,BB,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BB,,,,,,,,,,,BB,,,,,,,,,,,,,BB,BB,,,,MB,,,,,,,,,MB,,,,BB,BB,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BB,,,,,,,,,,,,,BB,BB,,,,,,,,,,BB,BB,,,,,MB,,,,,BB,,G,,MB,,,,,BB,BB,,,,,,,,,,,,,,,,BB,BB,BB,,,,,,
,,,,,,,,,,,,,,,,,,,BB,,,,,,,BB,BB,BB,,,MB,,,MB,,MB,MB,MB,MB,MB,MB,MB,MB,,,MB,,,BB,BB,BB,,,,,,,,,,,,,,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MB,,,MB,,,,,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,MB,MB,,,MB,MB,,,,BB,,,P,,,,,
,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,G,,PE,,,,,MB,,,MB,G,,,,,,,,PE,,,,,,,,MB,MB,MB,K,,MB,MB,MB,,,,,,PE,,,,,
FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,HB,,HB,,HB,HB,,HB,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB
FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,,,,,,,,,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB
FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,,,,,,,,,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB
FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB
